Earliest Date,Latest Date,Availability,Target,ProdYear,Week Ending
2025-07-08 00:00:00,2025-07-13 00:00:00,75%,85%,2026,Jul 11
2025-07-14 00:00:00,2025-07-20 00:00:00,86%,85%,2026,Jul 18
2025-07-21 00:00:00,2025-07-27 00:00:00,98%,85%,2026,Jul 25
2025-07-28 00:00:00,2025-08-03 00:00:00,74%,85%,2026,Aug 01
2025-08-04 00:00:00,2025-08-10 00:00:00,92%,85%,2026,Aug 08
2025-08-11 00:00:00,2025-08-17 00:00:00,90%,85%,2026,Aug 15
2025-08-18 00:00:00,2025-08-24 00:00:00,70%,85%,2026,Aug 22
2025-08-25 00:00:00,2025-08-31 00:00:00,63%,85%,2026,Aug 29
2025-09-01 00:00:00,2025-09-07 00:00:00,75%,85%,2026,Sep 05
2025-09-08 00:00:00,2025-09-13 00:00:00,83%,85%,2026,Sep 12
